folder,n_files,total_bytes
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_10/input_all,3,29451749
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_10/input_all,3,29451749
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_9/input_all,3,29451744
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_9/input_all,3,29451744
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_11/input_all,3,29433268
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_11/input_all,3,29433267
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_12/input_all,3,29423188
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_12/input_all,3,29423188
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_13/input_all,3,29395384
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_13/input_all,3,29395384
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_14/input_all,3,29357416
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_14/input_all,3,29357416
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_15/input_all,3,29277608
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_15/input_all,3,29277608
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_16/input_all,3,29219488
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_16/input_all,3,29219487
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_17/input_all,3,29162200
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_17/input_all,3,29162199
data,1,353
