stage,x0,y0,w,h,x1,y1,scale_x_idx_per_outpix,scale_y_idx_per_outpix,iou,dice,hamming,intersection,union,target_sum,pred_sum
stage3,46,54,131,68,176,121,1.1711711711711712,1.0634920634920635,0.9987003610108304,0.9993497579654649,0.0012555803571428572,6916,6925,6925,6916
stage3,46,53,131,73,176,125,1.1711711711711712,1.1428571428571428,0.9987003610108304,0.9993497579654649,0.0012555803571428572,6916,6925,6925,6916
stage3,46,53,131,74,176,126,1.1711711711711712,1.1587301587301588,0.9987003610108304,0.9993497579654649,0.0012555803571428572,6916,6925,6925,6916
stage3,45,53,132,73,176,125,1.1801801801801801,1.1428571428571428,0.9987003610108304,0.9993497579654649,0.0012555803571428572,6916,6925,6925,6916
stage3,45,53,132,74,176,126,1.1801801801801801,1.1587301587301588,0.9987003610108304,0.9993497579654649,0.0012555803571428572,6916,6925,6925,6916
stage3,49,55,127,67,175,121,1.135135135135135,1.0476190476190477,0.9985580389329488,0.9992784992784993,0.0013950892857142857,6925,6935,6925,6935
stage3,48,55,128,66,175,120,1.1441441441441442,1.0317460317460319,0.9985580389329488,0.9992784992784993,0.0013950892857142857,6925,6935,6925,6935
stage3,48,55,128,67,175,121,1.1441441441441442,1.0476190476190477,0.9985580389329488,0.9992784992784993,0.0013950892857142857,6925,6935,6925,6935
stage3,48,54,128,73,175,126,1.1441441441441442,1.1428571428571428,0.9985580389329488,0.9992784992784993,0.0013950892857142857,6925,6935,6925,6935
stage3,47,55,130,69,176,123,1.162162162162162,1.0793650793650793,0.9985580389329488,0.9992784992784993,0.0013950892857142857,6925,6935,6925,6935
stage3,46,55,131,69,176,123,1.1711711711711712,1.0793650793650793,0.9985580389329488,0.9992784992784993,0.0013950892857142857,6925,6935,6925,6935
